team,team_type,goals,probability
Liverpool,home,0,0.14237117278696798
Liverpool,home,1,0.27752665260617543
Liverpool,home,2,0.27049381345631135
Liverpool,home,3,0.17575946293457526
Liverpool,home,4,0.08565275971470532
Liverpool,home,5,0.03339288877766289
Liverpool,home,6,0.010848891740631219
Liverpool,home,7,0.003021133873748599
Liverpool,home,8,0.0007361437314202241
Liverpool,home,9,0.0001594420037730613
Liverpool,home,10,3.108031262632774e-05
Aston Villa,away,0,0.49872935102737187
Aston Villa,away,1,0.34696187658150685
Aston Villa,away,2,0.12068925114691496
Aston Villa,away,3,0.027987503960407698
Aston Villa,away,4,0.004867668643790357
Aston Villa,away,5,0.0006772793475047627
Aston Villa,away,6,7.852960491700102e-05
Aston Villa,away,7,7.804627910359802e-06
Aston Villa,away,8,6.78701870117682e-07
Aston Villa,away,9,5.2463029632832077e-08
Aston Villa,away,10,3.6498094958841913e-09
