home_team,away_team,home_goals,away_goals,scoreline,probability
Liverpool,Aston Villa,0,0,0-0,0.07100468260905037
Liverpool,Aston Villa,0,1,0-1,0.049397369281276374
Liverpool,Aston Villa,0,2,0-2,0.017182670228567204
Liverpool,Aston Villa,0,3,0-3,0.003984613762223155
Liverpool,Aston Villa,0,4,0-4,0.0006930156935547831
Liverpool,Aston Villa,0,5,0-5,9.64250550086455e-05
Liverpool,Aston Villa,0,6,0-6,1.1180351950530682e-05
Liverpool,Aston Villa,0,7,0-7,1.1111540287638282e-06
Liverpool,Aston Villa,0,8,0-8,9.66275812213628e-08
Liverpool,Aston Villa,0,9,0-9,7.469223056783758e-09
Liverpool,Aston Villa,0,10,0-10,5.196276583780447e-10
Liverpool,Aston Villa,1,0,1-0,0.13841068734707676
Liverpool,Aston Villa,1,1,1-1,0.09629116818962256
Liverpool,Aston Villa,1,2,1-2,0.03349448387634933
Liverpool,Aston Villa,1,3,1-3,0.007767278288934026
Liverpool,Aston Villa,1,4,1-4,0.0013509077847071796
Liverpool,Aston Villa,1,5,1-5,0.00018796307019229146
Liverpool,Aston Villa,1,6,1-6,2.1794058383100748e-05
Liverpool,Aston Villa,1,7,1-7,2.1659922587988857e-06
Liverpool,Aston Villa,1,8,1-8,1.883578581313115e-07
Liverpool,Aston Villa,1,9,1-9,1.4559888999578476e-08
Liverpool,Aston Villa,1,10,1-10,1.0129194120429722e-09
Liverpool,Aston Villa,2,0,2-0,0.13490320404198514
Liverpool,Aston Villa,2,1,2-1,0.09385104112048984
Liverpool,Aston Villa,2,2,2-2,0.03264569578591553
Liverpool,Aston Villa,2,3,2-3,0.007570446675374295
Liverpool,Aston Villa,2,4,2-4,0.001316674254100565
Liverpool,Aston Villa,2,5,2-5,0.00018319987348176556
Liverpool,Aston Villa,2,6,2-6,2.1241772303217104e-05
Liverpool,Aston Villa,2,7,2-7,2.1111035660807854e-06
Liverpool,Aston Villa,2,8,2-8,1.835846570480619e-07
Liverpool,Aston Villa,2,9,2-9,1.4190924950856214e-08
Liverpool,Aston Villa,2,10,2-10,9.872508889307722e-10
Liverpool,Aston Villa,3,0,3-0,0.08765640288628014
Liverpool,Aston Villa,3,1,3-1,0.060981833086738026
Liverpool,Aston Villa,3,2,3-2,0.021212277963557846
Liverpool,Aston Villa,3,3,3-3,0.004919068664960555
Liverpool,Aston Villa,3,4,3-4,0.0008555388265760655
Liverpool,Aston Villa,3,5,3-5,0.00011903825437411665
Liverpool,Aston Villa,3,6,3-6,1.380232118467648e-05
Liverpool,Aston Villa,3,7,3-7,1.3717372099290352e-06
Liverpool,Aston Villa,3,8,3-8,1.1928827618457562e-07
Liverpool,Aston Villa,3,9,3-9,9.220873912187272e-09
Liverpool,Aston Villa,3,10,3-10,6.414885568101183e-10
Liverpool,Aston Villa,4,0,4-0,0.042717545266218404
Liverpool,Aston Villa,4,1,4-1,0.029718242244999048
Liverpool,Aston Villa,4,2,4-2,0.01033736742863443
Liverpool,Aston Villa,4,3,4-3,0.002397206951735164
Liverpool,Aston Villa,4,4,4-4,0.000416929252717381
Liverpool,Aston Villa,4,5,4-5,5.801084521155784e-05
Liverpool,Aston Villa,4,6,4-6,6.7262773804466294e-06
